,state,dates
650,AP,2020-05-16
651,AP,2020-05-17
652,AP,2020-05-18
653,AP,2020-05-19
654,AP,2020-05-20
655,AP,2020-05-21
656,AP,2020-05-22
657,AP,2020-05-23
658,AP,2020-05-24
659,AP,2020-05-25
660,AP,2020-05-26
661,AP,2020-05-27
662,AP,2020-05-28
663,AP,2020-05-29
664,AP,2020-05-30
665,AP,2020-05-31
666,AP,2020-06-01
667,AP,2020-06-02
668,AP,2020-06-03
669,AP,2020-06-04
670,AP,2020-06-05
671,AP,2020-06-06
672,AP,2020-06-07
673,AP,2020-06-08
674,AP,2020-06-09
675,AP,2020-06-10
676,AP,2020-06-11
677,AP,2020-06-12
678,AP,2020-06-13
679,AP,2020-06-14
680,AP,2020-06-15
681,AP,2020-06-16
682,AP,2020-06-17
683,AP,2020-06-18
684,AP,2020-06-19
685,AP,2020-06-20
686,AP,2020-06-21
687,AP,2020-06-22
688,AP,2020-06-23
689,AP,2020-06-24
690,AP,2020-06-25
691,AP,2020-06-26
692,AP,2020-06-27
693,AP,2020-06-28
694,AP,2020-06-29
695,AP,2020-06-30
696,AP,2020-07-01
697,AP,2020-07-02
698,AP,2020-07-03
699,AP,2020-07-04
700,AP,2020-07-05
701,AP,2020-07-06
702,AP,2020-07-07
703,AP,2020-07-08
704,AP,2020-07-09
705,AP,2020-07-10
706,AP,2020-07-11
707,AP,2020-07-12
708,AP,2020-07-13
709,AP,2020-07-14
710,AP,2020-07-15
711,AP,2020-07-16
712,AP,2020-07-17
713,AP,2020-07-18
714,AP,2020-07-19
715,AP,2020-07-20
716,AP,2020-07-21
717,AP,2020-07-22
718,AP,2020-07-23
719,AP,2020-07-24
720,AP,2020-07-25
721,AP,2020-07-26
722,AP,2020-07-27
723,AP,2020-07-28
724,AP,2020-07-29
725,AP,2020-07-30
726,AP,2020-07-31
727,AP,2020-08-01
728,AP,2020-08-02
729,AP,2020-08-03
730,AP,2020-08-04
731,AP,2020-08-05
732,AP,2020-08-06
733,AP,2020-08-07
734,AP,2020-08-08
735,AP,2020-08-09
736,AP,2020-08-10
737,AP,2020-08-11
738,AP,2020-08-12
739,AP,2020-08-13
740,AP,2020-08-14
741,AP,2020-08-15
742,AP,2020-08-16
743,AP,2020-08-17
744,AP,2020-08-18
745,AP,2020-08-19
746,AP,2020-08-20
747,AP,2020-08-21
748,AP,2020-08-22
749,AP,2020-08-23
750,AP,2020-08-24
751,AP,2020-08-25
752,AP,2020-08-26
753,AP,2020-08-27
754,AP,2020-08-28
755,AP,2020-08-29
756,AP,2020-08-30
757,AP,2020-08-31
758,AP,2020-09-01
759,AP,2020-09-02
760,AP,2020-09-03
761,AP,2020-09-04
762,AP,2020-09-05
763,AP,2020-09-06
764,AP,2020-09-07
765,AP,2020-09-08
766,AP,2020-09-09
767,AP,2020-09-10
768,AP,2020-09-11
769,AP,2020-09-12
770,AP,2020-09-13
771,AP,2020-09-14
772,AP,2020-09-15
773,AP,2020-09-16
774,AP,2020-09-17
775,AP,2020-09-18
776,AP,2020-09-19
777,AP,2020-09-20
778,AP,2020-09-21
779,AP,2020-09-22
780,AP,2020-09-23
781,AP,2020-09-24
782,AP,2020-09-25
783,AP,2020-09-26
784,AP,2020-09-27
785,AP,2020-09-28
786,AP,2020-09-29
787,AP,2020-09-30
788,AP,2020-10-01
789,AP,2020-10-02
790,AP,2020-10-03
791,AP,2020-10-04
792,AP,2020-10-05
793,AP,2020-10-06
794,AP,2020-10-07
795,AP,2020-10-08
796,AP,2020-10-09
797,AP,2020-10-10
798,AP,2020-10-11
799,AP,2020-10-12
800,AP,2020-10-13
801,AP,2020-10-14
802,AP,2020-10-15
803,AP,2020-10-16
804,AP,2020-10-17
805,AP,2020-10-18
806,AP,2020-10-19
807,AP,2020-10-20
808,AP,2020-10-21
809,AP,2020-10-22
810,AP,2020-10-23
811,AP,2020-10-24
812,AP,2020-10-25
813,AP,2020-10-26
814,AP,2020-10-27
815,AP,2020-10-28
816,AP,2020-10-29
817,AP,2020-10-30
818,AP,2020-10-31
819,AP,2020-11-01
820,AP,2020-11-02
821,AP,2020-11-03
822,AP,2020-11-04
823,AP,2020-11-05
824,AP,2020-11-06
825,AP,2020-11-07
826,AP,2020-11-08
827,AP,2020-11-09
828,AP,2020-11-10
829,AP,2020-11-11
830,AP,2020-11-12
831,AP,2020-11-13
832,AP,2020-11-14
833,AP,2020-11-15
834,AP,2020-11-16
835,AP,2020-11-17
836,AP,2020-11-18
837,AP,2020-11-19
838,AP,2020-11-20
839,AP,2020-11-21
840,AP,2020-11-22
841,AP,2020-11-23
842,AP,2020-11-24
843,AP,2020-11-25
844,AP,2020-11-26
845,AP,2020-11-27
846,AP,2020-11-28
847,AP,2020-11-29
848,AP,2020-11-30
849,AP,2020-12-01
850,AP,2020-12-02
851,AP,2020-12-03
852,AP,2020-12-04
853,AP,2020-12-05
854,AP,2020-12-06
855,AP,2020-12-07
856,AP,2020-12-08
857,AP,2020-12-09
858,AP,2020-12-10
859,AP,2020-12-11
860,AP,2020-12-12
861,AP,2020-12-13
862,AP,2020-12-14
863,AP,2020-12-15
864,AP,2020-12-16
865,AP,2020-12-17
866,AP,2020-12-18
867,AP,2020-12-19
868,AP,2020-12-20
869,AP,2020-12-21
870,AP,2020-12-22
871,AP,2020-12-23
872,AP,2020-12-24
873,AP,2020-12-25
874,AP,2020-12-26
875,AP,2020-12-27
876,AP,2020-12-28
877,AP,2020-12-29
878,AP,2020-12-30
879,AP,2020-12-31
880,AP,2021-01-01
881,AP,2021-01-02
882,AP,2021-01-03
883,AP,2021-01-04
884,AP,2021-01-05
885,AP,2021-01-06
886,AP,2021-01-07
887,AP,2021-01-08
888,AP,2021-01-09
889,AP,2021-01-10
890,AP,2021-01-11
891,AP,2021-01-12
892,AP,2021-01-13
893,AP,2021-01-14
894,AP,2021-01-15
895,AP,2021-01-16
896,AP,2021-01-17
897,AP,2021-01-18
898,AP,2021-01-19
899,AP,2021-01-20
900,AP,2021-01-21
901,AP,2021-01-22
902,AP,2021-01-23
903,AP,2021-01-24
904,AP,2021-01-25
905,AP,2021-01-26
906,AP,2021-01-27
907,AP,2021-01-28
908,AP,2021-01-29
909,AP,2021-01-30
910,AP,2021-01-31
911,AP,2021-02-01
912,AP,2021-02-02
913,AP,2021-02-03
914,AP,2021-02-04
915,AP,2021-02-05
916,AP,2021-02-06
917,AP,2021-02-07
918,AP,2021-02-08
919,AP,2021-02-09
920,AP,2021-02-10
921,AP,2021-02-11
922,AP,2021-02-12
923,AP,2021-02-13
924,AP,2021-02-14
925,AP,2021-02-15
926,AP,2021-02-16
927,AP,2021-02-17
928,AP,2021-02-18
929,AP,2021-02-19
930,AP,2021-02-20
931,AP,2021-02-21
932,AP,2021-02-22
933,AP,2021-02-23
934,AP,2021-02-24
935,AP,2021-02-25
936,AP,2021-02-26
937,AP,2021-02-27
938,AP,2021-02-28
939,AP,2021-03-01
940,AP,2021-03-02
941,AP,2021-03-03
942,AP,2021-03-04
