districts,vaccinated1,vaccinated2,confirmed,deceased,recovered,tested
Rajouri,498787,241407,11272,237,11031,0
Ramban,220690,147086,6043,67,5971,0
Reasi,244379,133971,6626,43,6575,0
Samba,280700,122554,7152,120,7032,0
Shopiyan,203036,95122,5607,58,5549,0
Srinagar,957347,592016,75539,846,74242,0
Udhampur,425945,227785,11415,137,11275,0
Bagalkote,1188016,613422,35178,333,34843,49851
Ballari,1758198,864065,97763,1689,95961,402407
Belagavi,3165252,1386668,79900,938,78879,396565
Bengaluru Rural,700825,385704,62005,890,61073,240277
Bengaluru Urban,9219875,5903791,1251872,16281,1229059,6883888
Bidar,929776,515993,24340,400,23936,67689
Chamarajanagara,647951,351940,33001,500,32469,5156
Chikkaballapura,852473,497674,43951,429,43501,15089
Chikkamagaluru,737417,346002,51126,395,50662,5467
Chitradurga,1020280,618156,36666,206,36412,4393
Dakshina Kannada,1531107,848253,115478,1680,113515,131281
Davanagere,1016827,495371,50989,608,50359,17483
Dharwad,1212295,561504,60970,1315,59639,137696
Gadag,691646,328477,26066,319,25747,8904
Hassan,1224599,614828,111785,1256,110294,10800
Haveri,999178,383705,21947,644,21301,11714
Kalaburagi,1323039,641641,61926,819,61087,409596
Kodagu,385482,212033,37095,329,36616,143982
Kolar,991957,625918,46916,638,46266,91924
Koppal,814373,411092,35198,521,34660,8708
Mandya,1189318,659066,73753,650,73029,14874
Mysuru,2141764,1239770,179167,2416,176447,107338
Other State,0,0,36,3,33,0
Raichur,1021603,448501,39973,331,39641,21011
Ramanagara,754463,469335,24204,320,23869,103399
Shivamogga,1162073,535447,69444,1088,68239,48760
Tumakuru,1672730,881580,120836,1127,119420,106564
Udupi,919074,529427,76718,489,76181,86092
Uttara Kannada,980496,505589,56218,766,55339,13833
Vijayapura,1535235,634270,36267,495,35764,25108
Yadgir,708887,348094,27545,207,27337,221485
Alappuzha,1518055,855411,316160,1862,313515,0
Ernakulam,2953482,1759232,602800,3555,583842,0
Idukki,859116,481911,147118,519,140292,237691
Kannur,1891004,959656,275264,2325,269475,392136
Kasaragod,910194,521754,138815,617,134824,0
Kollam,1951077,1047951,390872,2451,383923,0
Kottayam,1477425,841596,322484,1356,315759,0
Kozhikode,2341296,1154561,527346,3374,519030,955060
Malappuram,2833303,1103557,567584,2576,562111,469850
Palakkad,1989222,950909,373839,2881,364351,226562
Pathanamthitta,1048352,677224,193406,1076,184979,306034
Thiruvananthapuram,2578575,1562343,463977,4996,448304,436661
Thrissur,2295947,1305873,523260,3575,515481,639055
Wayanad,659451,436359,125732,518,121295,211953
Kargil,87221,64300,3619,58,3556,37471
Leh,121577,87980,17343,150,17131,72597
Ahmednagar,2468837,881402,339457,7043,330122,11077
Akola,760099,357931,58764,1425,57318,0
Amravati,1241168,548807,96231,1594,94618,0
Aurangabad,1772420,723304,155331,4251,150615,11800
Beed,1145382,485615,103749,2806,100803,111488
Bhandara,825867,421585,60080,1123,58945,54195
Buldhana,1136679,512944,85520,797,84710,115874
Chandrapur,1335017,458690,88968,1560,87387,199809
Dhule,1007007,476051,46172,654,45501,90092
Gadchiroli,540319,231208,30440,669,29735,11993
Gondia,888961,469980,40519,569,39941,130146
Hingoli,537442,201000,18475,506,17949,6797
Jalgaon,2085101,699544,139934,2714,137178,429198
Jalna,1081253,413822,60615,1209,59382,117047
Kolhapur,2536731,1043329,206671,5847,200699,0
Latur,1182476,507616,92133,2437,89608,0
Mumbai,9115615,5564204,756749,16247,733318,2789713
Nagpur,3006439,1460890,493607,9128,484334,382083
Nanded,1560558,560812,90409,2658,87721,117319
Nandurbar,723850,342054,40006,948,39054,37740
Nashik,3471046,1299122,410681,8679,401418,498397
Osmanabad,803192,308210,67828,1963,65577,109450
Other State,0,0,144,111,31,0
Palghar,1869199,678741,138013,3282,134309,319724
Parbhani,905874,378183,52362,1233,51078,110937
Pune,7843130,4264808,1154776,19594,1131401,97127
Raigad,1859507,774913,195958,4551,190759,304088
Ratnagiri,920151,388703,78950,2478,76292,0
Sangli,1810980,802877,209771,5613,203673,0
Satara,1963730,865197,250414,6428,243482,312742
Sindhudurg,524896,279051,52783,1434,50987,0
Solapur,2242339,690069,210466,5551,204364,629266
Thane,5484839,2751182,610128,11462,597141,1229625
Wardha,755863,314899,57344,1217,55956,52365
Washim,579042,321710,41663,637,41020,0
Yavatmal,1211321,496306,75967,1798,74159,141551
East Garo Hills,47655,20648,1867,13,1844,0
East Jaintia Hills,64432,33259,2430,31,2395,0
East Khasi Hills,318381,225526,41025,987,39754,0
North Garo Hills,62675,28288,1685,8,1674,0
Ribhoi,92049,48460,9697,89,9584,0
South Garo Hills,40103,18937,1216,12,1203,0
South West Garo Hills,73397,39210,1872,17,1852,0
South West Khasi Hills,33372,17117,2548,17,2525,0
West Garo Hills,209662,119725,9027,72,8943,0
West Jaintia Hills,84529,47646,6803,133,6642,0
West Khasi Hills,77018,43000,5457,71,5330,0
Bishnupur,128902,64791,0,0,0,0
Chandel,26634,15197,0,0,0,0
Churachandpur,104247,62208,0,0,0,13542
Imphal East,251626,148953,0,0,0,0
Imphal West,308782,199404,0,0,0,0
Jiribam,27911,17262,0,0,0,0
